# effect kind	serde payload type
AdaptEffect	ironsmith_core::AdaptEffect
AddManaEffect	ironsmith_core::AddManaEffect
AddManaFromCommanderColorIdentityEffect	ironsmith_core::AddManaFromCommanderColorIdentityEffect
AddManaOfAnyColorEffect	ironsmith_core::AddManaOfAnyColorEffect
AddManaOfAnyOneColorEffect	ironsmith_core::AddManaOfAnyOneColorEffect
AddManaOfChosenColorEffect	ironsmith_core::AddManaOfChosenColorEffect
AddManaOfColorsAmongEffect	ironsmith_core::AddManaOfColorsAmongEffect
AddManaOfImprintedColorsEffect	ironsmith_core::AddManaOfImprintedColorsEffect
AddManaOfLandProducedTypesEffect	ironsmith_core::AddManaOfLandProducedTypesEffect
AddOneManaOfAnyColorAmongEffect	ironsmith_core::AddOneManaOfAnyColorAmongEffect
AddScaledManaEffect	ironsmith_core::AddScaledManaEffect
AdditionalLandPlaysEffect	ironsmith_core::AdditionalLandPlaysEffect
AdditionalPhasesEffect	ironsmith_core::AdditionalPhasesEffect
AmassEffect	ironsmith_core::AmassEffect
AmplifyEffect	ironsmith_core::AmplifyEffect
ApplyContinuousEffect	ironsmith_core::ApplyContinuousEffect<wire::WireContinuousTarget, wire::WireContinuousModification, wire::WireRuntimeModification, ironsmith_core::Condition>
AscendEffect	ironsmith_core::AscendEffect
AssignNoCombatDamageEffect	ironsmith_core::AssignNoCombatDamageEffect
AttachObjectsEffect	ironsmith_core::AttachObjectsEffect
AttachToEffect	ironsmith_core::AttachToEffect
AuraSwapEffect	ironsmith_core::AuraSwapEffect
BackupEffect	ironsmith_core::BackupEffect<wire::WireAbility>
BecomeBasicLandTypeChoiceEffect	ironsmith_core::BecomeBasicLandTypeChoiceEffect
BecomeColorChoiceEffect	ironsmith_core::BecomeColorChoiceEffect
BecomeCreatureTypeChoiceEffect	ironsmith_core::BecomeCreatureTypeChoiceEffect
BecomeMonarchEffect	ironsmith_core::BecomeMonarchEffect
BecomeSaddledUntilEotEffect	ironsmith_core::BecomeSaddledUntilEotEffect
BeholdEffect	ironsmith_core::BeholdEffect
BidLifeEffect	ironsmith_core::BidLifeEffect<wire::WireEffect>
BolsterEffect	ironsmith_core::BolsterEffect
CantEffect	ironsmith_core::CantEffect
CastSourceEffect	ironsmith_core::CastSourceEffect
CastTaggedEffect	ironsmith_core::CastTaggedEffect
ChooseCardNameEffect	ironsmith_core::ChooseCardNameEffect
ChooseCardTypeEffect	ironsmith_core::ChooseCardTypeEffect
ChooseColorEffect	ironsmith_core::ChooseColorEffect
ChooseCreatureTypeEffect	ironsmith_core::ChooseCreatureTypeEffect
ChooseLandTypeEffect	ironsmith_core::ChooseLandTypeEffect
ChooseModeEffect	ironsmith_core::ChooseModeEffect<wire::WireEffect>
ChooseNamedOptionEffect	ironsmith_core::ChooseNamedOptionEffect
ChooseNewTargetsEffect	ironsmith_core::ChooseNewTargetsEffect
ChooseObjectsEffect	ironsmith_core::ChooseObjectsEffect
ChoosePlayerEffect	ironsmith_core::ChoosePlayerEffect
ChooseSpellCastHistoryEffect	ironsmith_core::ChooseSpellCastHistoryEffect
CipherEffect	ironsmith_core::CipherEffect
ClashEffect	ironsmith_core::ClashEffect
ClearSuspectedEffect	ironsmith_core::ClearSuspectedEffect
ConditionalEffect	ironsmith_core::ConditionalEffect<wire::WireEffect>
